Country,Continent,Year,Tourist_Arrivals,Average_Hotel_Cost_USD,Average_Food_Cost_USD,Average_Transport_Cost_USD,Average_Daily_Budget_USD,Average_Temperature_C,Nature_Score,Culture_Score,Safety_Score
India,Asia,2026,19.28,21.36,39.67,14.02,82.7,26.3,9,9,8
Japan,Asia,2026,33.65,110.75,36.76,11.13,171.47,16.3,9,10,9
Thailand,Asia,2026,38.03,50.98,16.72,5.83,83.63,27.9,9,9,8
Indonesia,Asia,2026,18.24,46.49,15.61,5.73,74.24,26.5,10,9,7
Vietnam,Asia,2026,13.06,42.67,15.01,4.51,68.98,23.6,9,9,8
Nepal,Asia,2026,6.17,38.02,11.61,4.69,60.02,16.3,10,9,8
Sri Lanka,Asia,2026,21.09,44.57,13.39,5.75,71.97,27.7,10,9,8
Singapore,Asia,2026,8.03,154.72,45.1,14.25,233.4,27.4,7,8,9
Malaysia,Asia,2026,28.17,57.38,19.95,6.86,92.73,27.2,9,8,8
South Korea,Asia,2026,15.79,101.28,34.03,11.09,167.67,14.1,8,9,9
China,Asia,2026,34.22,88.35,31.93,10.27,147.13,14.1,9,10,8
Philippines,Asia,2026,18.79,55.17,19.13,5.62,89.36,29.5,10,8,7
Australia,Oceania,2026,10.12,139.13,44.94,13.91,216.91,22.0,10,8,9
New Zealand,Oceania,2026,11.76,125.31,41.62,12.21,200.14,15.8,10,9,10
France,Europe,2026,105.94,147.32,43.35,14.62,222.62,12.2,9,10,8
Spain,Europe,2026,104.86,121.61,36.92,12.95,195.38,17.8,9,10,8
Italy,Europe,2026,71.65,131.17,40.96,13.92,207.79,16.1,9,10,8
Germany,Europe,2026,39.85,138.92,41.63,15.24,219.76,10.0,8,9,9
United Kingdom,Europe,2026,44.95,161.44,45.19,15.46,242.08,11.8,8,10,8
Switzerland,Europe,2026,32.97,208.23,53.33,18.74,309.45,7.6,10,9,10
Austria,Europe,2026,14.23,151.32,44.63,15.11,242.05,9.7,9,9,9
Greece,Europe,2026,39.55,113.3,35.02,11.05,172.47,18.1,10,9,8
Portugal,Europe,2026,30.93,101.49,32.97,11.17,166.86,18.3,9,9,9
Netherlands,Europe,2026,14.23,138.33,43.02,15.19,215.97,11.3,8,9,9
Belgium,Europe,2026,1.72,127.09,40.17,14.58,206.78,10.6,8,9,9
Norway,Europe,2026,2.78,186.8,49.18,17.03,275.97,5.8,10,9,10
Sweden,Europe,2026,10.58,163.04,46.33,15.49,249.98,6.4,10,9,10
